age,educ_level,marital_status,occupation_name,race,sex,workclass,capital_gain,hours_week,over_50k,origin_c_income
39,college_grad,Never-married,Adm-clerical,White,Male,State-gov,2174,40,0,US
50,college_grad,Married-civ-spouse,Exec-managerial,White,Male,Self-emp-not-inc,0,13,0,US
38,hs_grad,Divorced,Handlers-cleaners,White,Male,Private,0,40,0,US
53,some_hs,Married-civ-spouse,Handlers-cleaners,Black,Male,Private,0,40,0,US
28,college_grad,Married-civ-spouse,Prof-specialty,Black,Female,Private,0,40,0,High Income
37,masters,Married-civ-spouse,Exec-managerial,White,Female,Private,0,40,0,US
49,some_hs,Married-spouse-absent,Other-service,Black,Female,Private,0,16,0,High Income
52,hs_grad,Married-civ-spouse,Exec-managerial,White,Male,Self-emp-not-inc,0,45,1,US
31,masters,Never-married,Prof-specialty,White,Female,Private,14084,50,1,US
42,college_grad,Married-civ-spouse,Exec-managerial,White,Male,Private,5178,40,1,US
37,some_college,Married-civ-spouse,Exec-managerial,Black,Male,Private,0,80,1,US
30,college_grad,Married-civ-spouse,Prof-specialty,Asian-Pac-Islander,Male,State-gov,0,40,1,Lower Middle Income
23,college_grad,Never-married,Adm-clerical,White,Female,Private,0,30,0,US
32,assoc_prof,Never-married,Sales,Black,Male,Private,0,50,0,US
40,Assoc-voc,Married-civ-spouse,Craft-repair,Asian-Pac-Islander,Male,Private,0,40,1,
34,no_hs,Married-civ-spouse,Transport-moving,Amer-Indian-Eskimo,Male,Private,0,45,0,High Income
25,hs_grad,Never-married,Farming-fishing,White,Male,Self-emp-not-inc,0,35,0,US
32,hs_grad,Never-married,Machine-op-inspct,White,Male,Private,0,40,0,US
38,some_hs,Married-civ-spouse,Sales,White,Male,Private,0,50,0,US
43,masters,Divorced,Exec-managerial,White,Female,Self-emp-not-inc,0,45,1,US
40,doctorate,Married-civ-spouse,Prof-specialty,White,Male,Private,0,60,1,US
54,hs_grad,Separated,Other-service,Black,Female,Private,0,20,0,US
35,some_hs,Married-civ-spouse,Farming-fishing,Black,Male,Federal-gov,0,40,0,US
43,some_hs,Married-civ-spouse,Transport-moving,White,Male,Private,-2042,40,0,US
59,hs_grad,Divorced,Tech-support,White,Female,Private,0,40,0,US
56,college_grad,Married-civ-spouse,Tech-support,White,Male,Local-gov,0,40,1,US
19,hs_grad,Never-married,Craft-repair,White,Male,Private,0,40,0,US
54,some_college,Married-civ-spouse,,Asian-Pac-Islander,Male,,0,60,1,
39,hs_grad,Divorced,Exec-managerial,White,Male,Private,0,80,0,US
49,hs_grad,Married-civ-spouse,Craft-repair,White,Male,Private,0,40,0,US
23,assoc_prof,Never-married,Protective-serv,White,Male,Local-gov,0,52,0,US
20,some_college,Never-married,Sales,Black,Male,Private,0,44,0,US
45,college_grad,Divorced,Exec-managerial,White,Male,Private,-1408,40,0,US
30,some_college,Married-civ-spouse,Adm-clerical,White,Male,Federal-gov,0,40,0,US
22,some_college,Married-civ-spouse,Other-service,Black,Male,State-gov,0,15,0,US
48,some_hs,Never-married,Machine-op-inspct,White,Male,Private,0,40,0,High Income
21,some_college,Never-married,Machine-op-inspct,White,Male,Private,0,40,0,US
19,hs_grad,Married-AF-spouse,Adm-clerical,White,Female,Private,0,25,0,US
31,some_college,Married-civ-spouse,Sales,White,Male,Private,0,38,1,
48,assoc_prof,Married-civ-spouse,Prof-specialty,White,Male,Self-emp-not-inc,0,40,0,US
31,some_hs,Married-civ-spouse,Machine-op-inspct,White,Male,Private,0,43,0,US
53,college_grad,Married-civ-spouse,Prof-specialty,White,Male,Self-emp-not-inc,0,40,0,US
24,college_grad,Married-civ-spouse,Tech-support,White,Male,Private,0,50,0,US
49,hs_grad,Separated,Adm-clerical,White,Female,Private,0,40,0,US
25,hs_grad,Never-married,Handlers-cleaners,White,Male,Private,0,35,0,US
57,college_grad,Married-civ-spouse,Prof-specialty,Black,Male,Federal-gov,0,40,1,US
53,hs_grad,Married-civ-spouse,Machine-op-inspct,White,Male,Private,0,38,0,US
44,masters,Divorced,Exec-managerial,White,Female,Private,0,40,0,US
41,Assoc-voc,Married-civ-spouse,Craft-repair,White,Male,State-gov,0,40,0,US
29,Assoc-voc,Never-married,Prof-specialty,White,Male,Private,0,43,0,US
25,some_college,Married-civ-spouse,Exec-managerial,Other,Female,Private,0,40,0,US
18,hs_grad,Never-married,Other-service,White,Female,Private,0,30,0,
47,assoc_prof,Married-civ-spouse,Prof-specialty,White,Female,Private,-1902,60,1,Middle Income
50,college_grad,Divorced,Exec-managerial,White,Male,Federal-gov,0,55,1,US
47,hs_grad,Divorced,Exec-managerial,White,Male,Self-emp-inc,0,60,0,US
43,some_college,Married-civ-spouse,Tech-support,White,Male,Private,0,40,1,US
46,no_hs,Married-civ-spouse,Machine-op-inspct,White,Male,Private,0,40,0,High Income
35,Assoc-voc,Married-civ-spouse,Other-service,White,Male,Private,0,40,0,High Income
41,hs_grad,Married-civ-spouse,Adm-clerical,White,Male,Private,0,48,0,US
30,hs_grad,Married-civ-spouse,Machine-op-inspct,White,Male,Private,5013,40,0,US
30,college_grad,Married-civ-spouse,Sales,White,Male,Private,2407,40,0,US
32,no_hs,Married-spouse-absent,,White,Male,,0,40,0,
48,hs_grad,Married-civ-spouse,Transport-moving,White,Male,Private,0,40,0,US
42,doctorate,Married-civ-spouse,Prof-specialty,White,Male,Private,0,45,1,US
29,some_college,Divorced,Tech-support,White,Male,Private,0,58,0,US
36,hs_grad,Married-civ-spouse,Craft-repair,White,Male,Private,0,40,0,US
28,some_college,Divorced,Adm-clerical,White,Female,Private,0,40,0,US
53,hs_grad,Married-civ-spouse,Adm-clerical,White,Female,Private,0,40,1,US
49,some_college,Married-civ-spouse,Exec-managerial,White,Male,Self-emp-inc,0,50,1,US
25,some_college,Never-married,,White,Male,,0,40,0,US
19,some_college,Never-married,Prof-specialty,White,Male,Private,0,32,0,US
31,college_grad,Separated,Sales,Black,Female,Private,0,40,0,US
29,college_grad,Married-civ-spouse,Sales,White,Male,Self-emp-not-inc,0,70,1,US
23,some_college,Never-married,Machine-op-inspct,White,Male,Private,0,40,0,US
79,some_college,Married-civ-spouse,Prof-specialty,White,Male,Private,0,20,0,US
27,hs_grad,Never-married,Other-service,White,Male,Private,0,40,0,High Income
40,assoc_prof,Married-civ-spouse,Adm-clerical,White,Male,Private,0,40,0,US
67,some_hs,Married-civ-spouse,,White,Male,,0,2,0,US
18,some_hs,Never-married,Other-service,White,Female,Private,0,22,0,US
31,no_hs,Married-civ-spouse,Farming-fishing,White,Male,Local-gov,0,40,0,US
18,hs_grad,Never-married,Sales,White,Male,Private,0,30,0,US
52,college_grad,Married-civ-spouse,Other-service,White,Male,Private,0,40,0,High Income
46,hs_grad,Married-civ-spouse,Other-service,White,Female,Private,0,40,0,US
59,hs_grad,Married-civ-spouse,Sales,White,Male,Private,0,48,0,US
44,hs_grad,Divorced,Craft-repair,White,Female,Private,14344,40,1,US
53,hs_grad,Divorced,Sales,White,Female,Private,0,35,0,US
49,hs_grad,Married-civ-spouse,Protective-serv,White,Male,Local-gov,0,40,1,US
33,masters,Married-civ-spouse,Prof-specialty,White,Male,Private,0,50,0,US
30,some_hs,Never-married,Sales,White,Male,Private,0,40,0,US
43,doctorate,Never-married,Prof-specialty,White,Female,Federal-gov,0,50,1,US
57,Assoc-voc,Married-civ-spouse,Prof-specialty,White,Male,Private,0,40,0,US
37,some_college,Divorced,Craft-repair,White,Female,Private,0,40,0,US
28,some_college,Divorced,Machine-op-inspct,Black,Female,Private,0,25,0,US
30,hs_grad,Married-civ-spouse,Sales,Asian-Pac-Islander,Female,Private,-1573,35,0,
34,college_grad,Married-civ-spouse,Protective-serv,White,Male,Local-gov,0,40,1,US
29,some_college,Never-married,Handlers-cleaners,White,Male,Local-gov,0,50,0,US
48,doctorate,Married-civ-spouse,Prof-specialty,White,Male,Self-emp-not-inc,-1902,60,1,US
37,some_college,Married-civ-spouse,Sales,White,Male,Private,0,48,1,US
48,assoc_prof,Divorced,Exec-managerial,White,Female,Private,0,40,0,High Income
32,hs_grad,Never-married,Other-service,Black,Male,Federal-gov,0,40,0,US
76,masters,Married-civ-spouse,Exec-managerial,White,Male,Private,0,40,1,US
44,college_grad,Married-civ-spouse,Exec-managerial,White,Male,Private,15024,60,1,US
47,masters,Never-married,Prof-specialty,White,Female,Self-emp-not-inc,0,50,0,US
20,some_college,Never-married,Tech-support,White,Female,Private,0,40,0,US
29,hs_grad,Never-married,Craft-repair,White,Male,Private,0,40,0,US
32,hs_grad,Married-civ-spouse,Craft-repair,White,Male,Self-emp-inc,7688,40,1,US
17,some_hs,Never-married,,White,Female,,34095,32,0,US
30,some_hs,Never-married,Handlers-cleaners,White,Male,Private,0,40,0,US
31,hs_grad,Never-married,Adm-clerical,White,Female,Local-gov,0,40,0,US
42,hs_grad,Married-civ-spouse,Handlers-cleaners,White,Male,Private,0,40,0,US
24,college_grad,Never-married,Sales,White,Male,Private,0,40,0,US
38,assoc_prof,Married-civ-spouse,Prof-specialty,White,Male,Private,0,40,1,US
